"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2021","2021",48,,
"ITC11","Torino","INFLNONEU","annual inflows of non-EU citizens","9","total","AR","Argentina","FAM","family","2022","2022",93,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2007","2007",48,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2008","2008",42,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2009","2009",40,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2010","2010",101,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2011","2011",58,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2012","2012",50,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2013","2013",51,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2014","2014",25,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2015","2015",34,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2016","2016",31,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2017","2017",27,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2018","2018",42,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2019","2019",45,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2020","2020",16,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2021","2021",40,,
"ITE","Centro (I)","INFLNONEU","annual inflows of non-EU citizens","1","males","AR","Argentina","OTH1","elective residence, religion, health","2022","2022",104,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2007","2007",622,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2008","2008",553,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2009","2009",586,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2010","2010",848,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2011","2011",678,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2012","2012",577,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2013","2013",482,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2014","2014",431,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2015","2015",422,,
"IT","Italy","INFLNONEU","annual inflows of non-EU citizens","2","females","AR","Argentina","ALL","all items","2016","2016",393,,
